trial,result,latency_ms,server_total,server_last
1,PASS,2038,1,PASS
2,PASS,1238,2,PASS
3,PASS,1259,3,PASS
4,PASS,1234,4,PASS
5,PASS,1247,5,PASS
6,PASS,1237,6,PASS
7,PASS,1238,7,PASS
8,PASS,1238,8,PASS
9,PASS,1224,9,PASS
10,PASS,1228,10,PASS
11,PASS,1226,11,PASS
12,PASS,1228,12,PASS
13,PASS,1229,13,PASS
14,PASS,1215,14,PASS
15,PASS,1222,15,PASS
16,PASS,1228,16,PASS
17,PASS,1237,17,PASS
18,PASS,1238,18,PASS
19,PASS,1237,19,PASS
20,PASS,1282,20,PASS
21,PASS,1220,21,PASS
22,PASS,1217,22,PASS
23,PASS,1227,23,PASS
24,PASS,1242,24,PASS
25,PASS,1242,25,PASS
26,PASS,1232,26,PASS
27,PASS,1264,27,PASS
28,PASS,1234,28,PASS
29,PASS,1228,29,PASS
30,PASS,1245,30,PASS
31,PASS,1242,31,PASS
32,PASS,1264,32,PASS
33,PASS,1225,33,PASS
34,PASS,1219,34,PASS
35,PASS,1226,35,PASS
36,PASS,1250,36,PASS
37,PASS,1261,37,PASS
38,PASS,1230,38,PASS
39,PASS,1224,39,PASS
40,PASS,1230,40,PASS
41,PASS,1240,41,PASS
42,PASS,1223,42,PASS
43,PASS,1243,43,PASS
44,PASS,1249,44,PASS
45,PASS,1235,45,PASS
46,PASS,1241,46,PASS
47,PASS,1223,47,PASS
48,PASS,1227,48,PASS
49,PASS,1246,49,PASS
50,PASS,1310,50,PASS
51,PASS,1241,51,PASS
52,PASS,1249,52,PASS
53,PASS,1242,53,PASS
54,PASS,1278,54,PASS
55,PASS,1242,55,PASS
56,PASS,1225,56,PASS
57,PASS,1230,57,PASS
58,PASS,1225,58,PASS
59,PASS,1226,59,PASS
60,PASS,1240,60,PASS
61,PASS,1223,61,PASS
62,PASS,1226,62,PASS
63,PASS,1237,63,PASS
64,PASS,1230,64,PASS
65,PASS,1240,65,PASS
66,PASS,1223,66,PASS
67,PASS,1222,67,PASS
68,PASS,1236,68,PASS
69,PASS,1269,69,PASS
70,PASS,1328,70,PASS
71,PASS,1226,71,PASS
72,PASS,1393,72,PASS
73,PASS,1220,73,PASS
74,PASS,1240,74,PASS
75,PASS,1241,75,PASS
76,PASS,1228,76,PASS
77,PASS,1229,77,PASS
78,PASS,1254,78,PASS
79,PASS,1236,79,PASS
80,PASS,1241,80,PASS
81,PASS,1230,81,PASS
82,PASS,1227,82,PASS
83,PASS,1230,83,PASS
84,PASS,1231,84,PASS
85,PASS,1230,85,PASS
86,PASS,1234,86,PASS
87,PASS,1293,87,PASS
88,PASS,1231,88,PASS
89,PASS,1226,89,PASS
90,PASS,1238,90,PASS
91,PASS,1229,91,PASS
92,PASS,1251,92,PASS
93,PASS,1238,93,PASS
94,PASS,1224,94,PASS
95,PASS,1220,95,PASS
96,PASS,1232,96,PASS
97,PASS,1234,97,PASS
98,PASS,1278,98,PASS
99,PASS,1222,99,PASS
100,PASS,1243,100,PASS
